generation_idx	max_steps	mean_steps	max_apples	mean_apples	max_score	mean_score
50	600	139.408	4	0.114	2.662E9	2.436857295E7
51	800	139.614	3	0.134	4.096E9	2.7835125796E7
52	600	146.858	2	0.106	8.64E8	1.6585945224E7
53	600	123.794	2	0.092	8.64E8	1.1360628468E7
54	600	127.95	2	0.088	8.64E8	1.1591074872E7
55	800	144.85	3	0.118	4.096E9	2.3737954452E7
56	600	140.0	2	0.092	8.64E8	1.5787025654E7
57	600	149.184	2	0.124	8.64E8	1.9840425282E7
58	600	152.314	3	0.092	8.64E8	1.4300149744E7
59	600	156.18	2	0.094	8.64E8	2.18737706E7
60	600	156.346	3	0.144	8.64E8	2.3582647072E7
61	800	161.19	3	0.14	4.096E9	5.070685085E7
62	600	163.008	3	0.146	8.64E8	2.6022837008E7
63	600	168.684	2	0.16	8.64E8	3.3713942284E7
64	600	158.596	2	0.128	8.64E8	2.1488870112E7
